Keyword,Vol,CPC,Comp
facebook lite,45500000,$0.04,0.03
messenger lite,11100000,$0.15,0.07
all apps download,135000,$0.13,0.05
messages app,47200,$3.43,0.36
facebook wiki,40500,$0.10,0
facebook download for pc,33100,$0.07,0.03
instagram wiki,22200,$1.23,0
whatsapp wiki,18100,$0.08,0
facebook messenger update,14800,$0.24,0.03
facebook users,14800,$0.30,0.03
facebook revenue,8100,$1.14,0
facebook investor relations,8100,$3.26,0.01
facebook masthead,1900,$0.00,0
facebook results,1900,$0.03,0.01
what did facebook do,1000,$0.00,0
facebook founders net worth,390,$0.00,0
fb news blog,210,$0.00,0
facebook q1 2018 earnings,210,$0.00,0.01
facebook financial news,170,$0.00,0.04
facebook spokesperson,70,$0.00,0
facebook executives bios,70,$0.00,0.02
facebook 2018 guidance,0,$0.00,0
facebook net income 2018,0,$0.00,0
